1347 Capital Corp,10-K,1606163,2016-03-21,https://www.sec.gov/Archives/edgar/data/1606163/0001144204-16-089184-index.htm
"1347 Property Insurance Holdings, Inc.",10-K,1591890,2016-03-17,https://www.sec.gov/Archives/edgar/data/1591890/0001387131-16-004603-index.htm
1ST CONSTITUTION BANCORP,10-K,1141807,2016-03-22,https://www.sec.gov/Archives/edgar/data/1141807/0001141807-16-000010-index.htm
1ST SOURCE CORP,10-K,34782,2016-02-19,https://www.sec.gov/Archives/edgar/data/34782/0000034782-16-000102-index.htm
"1st Century Bancshares, Inc.",10-K,1420525,2016-03-04,https://www.sec.gov/Archives/edgar/data/1420525/0001437749-16-026765-index.htm
1st FRANKLIN FINANCIAL CORP,10-K,38723,2016-03-30,https://www.sec.gov/Archives/edgar/data/38723/0001376474-16-000618-index.htm
"22nd Century Group, Inc.",10-K,1347858,2016-02-18,https://www.sec.gov/Archives/edgar/data/1347858/0001144204-16-083153-index.htm
"2U, Inc.",10-K,1459417,2016-03-10,https://www.sec.gov/Archives/edgar/data/1459417/0001047469-16-010989-index.htm
3D SYSTEMS CORP,10-K,910638,2016-03-14,https://www.sec.gov/Archives/edgar/data/910638/0000910638-16-000016-index.htm
3DICON CORP,10-K,1375195,2016-03-30,https://www.sec.gov/Archives/edgar/data/1375195/0001144204-16-091408-index.htm
